tick_ts,bar_ts,tick_time_str,bar_time_str,symbol,year,month,date,day,hour,minute,week_of_month,open,high,low,close,volume,typical_price,vwap,price_range,return_pct,log_return,body_pct,upper_shadow,lower_shadow,hl_ratio,session_number,expiry,is_monthly_expiry,days_to_expiry,data_quality,fetch_latency_ms
2026-04-07 09:17:00.112941,2026-04-07 09:15:00,09:17,09:15,^NSEI,2026,4,7,1,9,15,1,22834.8,22834.8,22720.45,22762.8,0.0,22772.68,22772.68,114.35,-0.3153,0.0,62.96,0.0,42.35,1.005033,1,1,0,0,OK_NO_VOL,112.4
2026-04-07 09:18:00.144518,2026-04-07 09:16:00,09:18,09:16,^NSEI,2026,4,7,1,9,16,1,22764.0,22770.5,22734.75,22739.3,0.0,22748.18,22760.43,35.75,-0.1085,-0.001033,69.09,6.5,4.55,1.001572,1,1,0,0,OK_NO_VOL,144.0
2026-04-07 09:19:00.124145,2026-04-07 09:17:00,09:19,09:17,^NSEI,2026,4,7,1,9,17,1,22741.65,22773.95,22740.7,22772.8,0.0,22762.48,22761.12,33.25,0.137,0.001472,93.69,1.15,0.95,1.001462,1,1,0,0,OK_NO_VOL,123.7
2026-04-07 09:20:00.110969,2026-04-07 09:18:00,09:20,09:18,^NSEI,2026,4,7,1,9,18,1,22775.75,22784.8,22764.1,22766.6,0.0,22771.83,22763.8,20.7,-0.0402,-0.000272,44.2,9.05,2.5,1.000909,1,1,0,0,OK_NO_VOL,110.5
2026-04-07 09:21:00.194793,2026-04-07 09:19:00,09:21,09:19,^NSEI,2026,4,7,1,9,19,1,22767.65,22790.2,22766.0,22773.05,0.0,22776.42,22766.32,24.2,0.0237,0.000283,22.32,17.15,1.65,1.001063,1,1,0,0,OK_NO_VOL,194.3
2026-04-07 09:22:00.138997,2026-04-07 09:20:00,09:22,09:20,^NSEI,2026,4,7,1,9,20,1,22773.75,22774.3,22758.75,22770.35,0.0,22767.8,22766.57,15.55,-0.0149,-0.000119,21.87,0.55,11.6,1.000683,1,1,0,0,OK_NO_VOL,138.6
2026-04-07 09:23:00.106431,2026-04-07 09:21:00,09:23,09:21,^NSEI,2026,4,7,1,9,21,1,22772.05,22790.5,22764.25,22788.7,0.0,22781.15,22768.65,26.25,0.0731,0.000806,63.42,1.8,7.8,1.001153,1,1,0,0,OK_NO_VOL,106.0
2026-04-07 09:24:00.171015,2026-04-07 09:22:00,09:24,09:22,^NSEI,2026,4,7,1,9,22,1,22791.5,22820.6,22786.65,22818.1,0.0,22808.45,22773.62,33.95,0.1167,0.001289,78.35,2.5,4.85,1.00149,1,1,0,0,OK_NO_VOL,170.6
2026-04-07 09:25:00.179004,2026-04-07 09:23:00,09:25,09:23,^NSEI,2026,4,7,1,9,23,1,22817.65,22825.8,22794.85,22813.6,0.0,22811.42,22777.82,30.95,-0.0178,-0.000197,13.09,8.15,18.75,1.001358,1,1,0,0,OK_NO_VOL,178.5
2026-04-07 09:26:00.130731,2026-04-07 09:24:00,09:26,09:24,^NSEI,2026,4,7,1,9,24,1,22817.55,22819.8,22802.15,22802.15,0.0,22808.03,22780.85,17.65,-0.0675,-0.000502,87.25,2.25,0.0,1.000774,1,1,0,0,OK_NO_VOL,130.3
2026-04-07 09:27:00.114832,2026-04-07 09:25:00,09:27,09:25,^NSEI,2026,4,7,1,9,25,1,22804.65,22822.7,22801.3,22816.2,0.0,22813.4,22783.8,21.4,0.0506,0.000616,53.97,6.5,3.35,1.000938,1,1,0,0,OK_NO_VOL,114.4
2026-04-07 09:28:00.108092,2026-04-07 09:26:00,09:28,09:26,^NSEI,2026,4,7,1,9,26,1,22816.05,22872.55,22815.9,22869.9,0.0,22852.78,22789.55,56.65,0.236,0.002351,95.06,2.65,0.15,1.002483,1,1,0,0,OK_NO_VOL,107.6
2026-04-07 09:29:00.194495,2026-04-07 09:27:00,09:29,09:27,^NSEI,2026,4,7,1,9,27,1,22871.55,22887.05,22863.0,22875.95,0.0,22875.33,22796.15,24.05,0.0192,0.000264,18.29,11.1,8.55,1.001052,1,1,0,0,OK_NO_VOL,194.1
